region,locality,Apartment,House
Brussels,ANDERLECHT,250777.99610894942,449751.3661202186
Brussels,AUDERGHEM,395061.1570247934,541705.8823529412
Brussels,BERCHEM-SAINTE-AGATHE,279413.829787234,504097.0588235294
Brussels,BRUXELLES,336236.3434343434,524821.5189873418
Brussels,ETTERBEEK,371040.37267080747,578771.4285714285
Brussels,EVERE,295491.1416309013,497625.0
Brussels,FOREST,307649.17689530685,512634.6153846154
Brussels,GANSHOREN,243100.82474226804,486571.38095238095
Brussels,IXELLES,425523.0414746544,662603.448275862
Brussels,JETTE,250758.6387434555,487418.26923076925
Brussels,KOEKELBERG,269679.38144329895,405916.6666666667
Brussels,MOLENBEEK-SAINT-JEAN,248439.8014354067,441409.0909090909
Brussels,NEDER-OVER-HEEMBEEK,290064.0,514811.1111111111
Brussels,SAINT-GILLES,336629.38064516126,609591.8367346938
Brussels,SAINT-JOSSE-TEN-NOODE,270992.0634920635,411650.0
Brussels,SCHAERBEEK,299714.0558139535,532000.0
Brussels,UCCLE,418794.4145299145,603480.1881188119
Brussels,WATERMAEL-BOITSFORT,384946.4285714286,614971.4285714285
Brussels,WOLUWE-SAINT-LAMBERT,392933.4591439689,630023.2558139535
Brussels,WOLUWE-SAINT-PIERRE,462309.49720670393,607552.0833333334
Flanders,AARSCHOT,344148.7272727273,396189.73214285716
Flanders,AARTSELAAR,295060.0,519282.4666666667
Flanders,AFFLIGEM,225072.72727272726,448291.6590909091
Flanders,ALKEN,286809.5238095238,361038.46153846156
Flanders,ANTWERPEN,343782.4420677362,465900.28662420384
Flanders,ARENDONK,258000.0,402864.05263157893
Flanders,AS,287000.0,348333.3333333333
Flanders,ASSE,300620.63333333336,475691.80821917806
Flanders,ATTENHOVEN,,336500.0
Flanders,AVERBODE,352000.0,348488.3548387097
Flanders,BAARLE-HERTOG,250000.0,555000.0
Flanders,BALEN,288017.4285714286,400327.77142857143
Flanders,BEERSE,359800.0,436483.60655737703
Flanders,BEERSEL,225615.38461538462,503566.97959183675
Flanders,BEERT,,380000.0
Flanders,BEGIJNENDIJK,338712.5,439343.85294117645
Flanders,BEIGEM,,529348.3333333334
Flanders,BEKKEVOORT,,421245.1666666667
Flanders,BERCHEM,323943.9937106918,524592.4528301887
Flanders,BERENDRECHT,366142.85714285716,406547.61904761905
Flanders,BERINGEN,284313.9285714286,384327.68032786885
Flanders,BERLAAR,303023.8095238095,414813.14634146343
Flanders,BERTEM,373500.0,523481.48148148146
Flanders,BEVER,,380171.0833333333
Flanders,BIERBEEK,432145.71428571426,472310.8695652174
Flanders,BILZEN,351695.5106382979,385949.6956521739
Flanders,BILZEN-HOESELT,,475000.0
Flanders,BOCHOLT,345036.48148148146,280800.0
Flanders,BOECHOUT,367312.5,519990.36666666664
Flanders,BONHEIDEN,403700.0,519122.85714285716
Flanders,BOOISCHOT,303428.5714285714,409187.3703703704
Flanders,BOOM,275576.0,306452.8095238095
Flanders,BOORTMEERBEEK,434461.53846153844,501635.13513513515
Flanders,BORGERHOUT,238129.4871794872,399388.8888888889
Flanders,BORGLOON,278918.1666666667,347998.7083333333
Flanders,BORNEM,304723.21428571426,404964.55263157893
Flanders,BORSBEEK,269581.08108108107,451533.3333333333
Flanders,BOUTERSEM,,474669.2380952381
Flanders,BRASSCHAAT,382587.5,565152.479338843
Flanders,BRECHT,401909.0909090909,513367.0517241379
Flanders,BREE,321000.0,399813.06666666665
Flanders,DESSEL,269100.0,361107.53125
Flanders,DEURNE,234142.86092715233,375581.0606060606
Flanders,DIEPENBEEK,303981.6818181818,434842.1052631579
Flanders,DIEST,283970.1754385965,359209.8360655738
Flanders,DILBEEK,342328.62903225806,516311.26277372264
Flanders,DILSEN-STOKKEM,293572.6666666667,364956.85714285716
Flanders,DROGENBOS,322428.5714285714,486158.3333333333
Flanders,DUFFEL,278820.0,463441.3333333333
Flanders,DURAS,,377000.0
Flanders,DWORP,542500.0,505055.55555555556
Flanders,EDEGEM,342266.9431818182,524749.8157894737
Flanders,EKEREN,269150.9433962264,422781.53846153844
Flanders,ERPS-KWERPS,326666.6666666667,530858.5652173914
Flanders,ESSEN,274444.44444444444,414379.0
Flanders,EVERBERG,275000.0,546347.8260869565
