region,province,locality,subtype,avg_price,med_price,price_m2,count
Brussels,Brussels,ANDERLECHT,APARTMENT,245927.53598014888,234000.0,2948.309602988858,403
Brussels,Brussels,ANDERLECHT,APARTMENT_BLOCK,503068.1818181818,510000.0,2110.2204114733518,44
Brussels,Brussels,ANDERLECHT,DUPLEX,304812.5,285000.0,2534.156273518853,24
Brussels,Brussels,ANDERLECHT,EXCEPTIONAL_PROPERTY,449000.0,449000.0,3507.8125,1
Brussels,Brussels,ANDERLECHT,FLAT_STUDIO,162468.37142857144,159000.0,4190.364971710878,35
Brussels,Brussels,ANDERLECHT,GROUND_FLOOR,311166.6666666667,284500.0,3162.917329626342,24
Brussels,Brussels,ANDERLECHT,HOUSE,416220.5882352941,417000.0,2404.921876574761,102
Brussels,Brussels,ANDERLECHT,KOT,134340.0,132350.0,6462.617647058823,5
Brussels,Brussels,ANDERLECHT,LOFT,406500.0,399500.0,3195.6191670195,12
Brussels,Brussels,ANDERLECHT,MANSION,550000.0,550000.0,1666.6666666666667,1
Brussels,Brussels,ANDERLECHT,MIXED_USE_BUILDING,523526.3157894737,499000.0,2104.6373031110425,19
Brussels,Brussels,ANDERLECHT,PENTHOUSE,371812.5,342000.0,3434.3579331249657,8
Brussels,Brussels,ANDERLECHT,TOWN_HOUSE,414666.6666666667,385000.0,2529.1818212169005,15
Brussels,Brussels,ANDERLECHT,TRIPLEX,265666.6666666667,249000.0,2289.3939393939395,3
Brussels,Brussels,ANDERLECHT,VILLA,549000.0,549000.0,2386.9565217391305,1
Brussels,Brussels,AUDERGHEM,APARTMENT,450890.0,415000.0,4623.293678991014,80
Brussels,Brussels,AUDERGHEM,APARTMENT_BLOCK,649500.0,649500.0,3082.13141025641,2
Brussels,Brussels,AUDERGHEM,DUPLEX,420000.0,370000.0,3321.76897083429,5
Brussels,Brussels,AUDERGHEM,FLAT_STUDIO,220335.29411764705,215000.0,5283.039728654886,17
Brussels,Brussels,AUDERGHEM,GROUND_FLOOR,343363.63636363635,245000.0,4470.523524640389,11
Brussels,Brussels,AUDERGHEM,HOUSE,528448.275862069,545000.0,3430.677952028855,29
Brussels,Brussels,AUDERGHEM,MIXED_USE_BUILDING,499500.0,499500.0,2778.125,2
Brussels,Brussels,AUDERGHEM,PENTHOUSE,461333.3333333333,399000.0,4178.825475599669,3
Brussels,Brussels,AUDERGHEM,SERVICE_FLAT,144900.0,149500.0,3485.888065133348,5
Brussels,Brussels,AUDERGHEM,TOWN_HOUSE,795000.0,795000.0,5031.645569620253,1
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,APARTMENT,271615.0684931507,262000.0,3016.143615836548,73
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,APARTMENT_BLOCK,544992.8571428572,525000.0,2231.062147277303,7
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,DUPLEX,287833.3333333333,317000.0,2886.030538634384,6
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,EXCEPTIONAL_PROPERTY,465000.0,465000.0,1978.723404255319,1
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,FLAT_STUDIO,190000.0,230000.0,5300.0,3
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,GROUND_FLOOR,312166.6666666667,297000.0,3450.2822441558305,6
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,HOUSE,473161.29032258067,485000.0,2424.3623346386807,31
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,MANSION,647000.0,647000.0,2458.4173669467787,2
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,MIXED_USE_BUILDING,572250.0,572500.0,2963.611694677871,4
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,PENTHOUSE,377833.3333333333,362500.0,2935.903956949593,6
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,TOWN_HOUSE,472000.0,472000.0,2798.056891063563,4
Brussels,Brussels,BERCHEM-SAINTE-AGATHE,VILLA,645000.0,645000.0,3290.816326530612,2
Brussels,Brussels,BRUXELLES,APARTMENT,344503.93996247655,310000.0,3685.8315780140915,533
Brussels,Brussels,BRUXELLES,APARTMENT_BLOCK,559761.9047619047,567500.0,2354.4892651303476,42
Brussels,Brussels,BRUXELLES,DUPLEX,370036.36363636365,345000.0,3176.1149656887114,55
Brussels,Brussels,BRUXELLES,EXCEPTIONAL_PROPERTY,669666.6666666666,670000.0,2736.1879200488784,3
Brussels,Brussels,BRUXELLES,FLAT_STUDIO,180712.6436781609,174500.0,4895.478144779988,87
Brussels,Brussels,BRUXELLES,GROUND_FLOOR,368895.2,319000.0,3545.9605068099163,45
Brussels,Brussels,BRUXELLES,HOUSE,492039.5833333333,478000.0,2605.2260280174187,96
Brussels,Brussels,BRUXELLES,KOT,164600.0,149000.0,6683.832956250432,14
Brussels,Brussels,BRUXELLES,LOFT,465716.6666666667,457500.0,3485.7040840495683,18
Brussels,Brussels,BRUXELLES,MIXED_USE_BUILDING,559777.7777777778,529000.0,2271.1816421505464,9
Brussels,Brussels,BRUXELLES,PENTHOUSE,491000.0,449000.0,4096.45824811268,33
